change_id,numeric_id,project,branch,owner_id,abandon_ts,reopen_ts,final_status
Idf168ff4902168600ed988dd9282e6b0993c8ee5,159064,core,master,1001002,2024-01-19 03:13:31.000000000,,ABANDONED
I7e63af0e4293760decaef3c06aa8137ac25873c3,159066,core,distro/collabora/co-23.05,1002314,2024-01-08 03:11:35.000000000,,ABANDONED
Ib4205f4d5d8c81e5184d5a6963c9f2f3dd1ceb30,159194,core,master,1001615,2024-01-14 03:11:36.000000000,,ABANDONED
I0dac0f984cd22009ef59050e1701c33d085753a6,159323,core,master,1000295,2024-01-14 03:11:36.000000000,,ABANDONED
I78ee536bade484b655f932f72306c20a811eab6a,159324,core,master,1000295,2024-01-14 03:11:36.000000000,,ABANDONED
I5301bd965207fc1fe2e2b90873fb4f05bb58a931,159368,core,master,1000166,2024-01-14 03:11:36.000000000,,ABANDONED
I91c2fbb8c66ed460db01da8e043fda3bc80c16fa,159395,core,master,1000994,2024-01-15 03:11:17.000000000,,ABANDONED
I23c959fb0a17854beceb5a3725305b9b08740a44,159398,core,master,1003962,2024-01-27 22:27:25.000000000,,ABANDONED
I6cdc337a5beb1f4d294a281833c05d00a7e7f90f,159605,core,master,1000295,2024-01-20 03:14:04.000000000,,ABANDONED
Ic976c8d5dd51fbb09020b6aa97e22060cc6dff94,159650,core,master,1003558,2024-01-30 03:12:03.000000000,,ABANDONED
I75c0e9647e8bdca29d88ab10534663df56d3c472,159731,core,master,1001077,2024-01-21 03:13:10.000000000,,ABANDONED
I3adc1c9f89b23a77182b950ad661ccfa2d85b7eb,159955,core,master,1004128,2024-01-26 03:13:41.000000000,,ABANDONED
I750ae533520e96c904dd2368983d58258ec1c94c,159965,core,master,1000295,2024-01-27 03:14:01.000000000,,ABANDONED
Iec4a8660f9d19181909f97bf82f4c8f4a070aee3,160416,core,distro/collabora/co-23.05,1002677,2024-01-17 10:02:01.000000000,,ABANDONED
I71d79358937712a6659c14e06527e0d9efec93e7,160604,core,master,1004052,2024-01-17 07:08:30.000000000,,ABANDONED
Ibcfd836cd6d424e803a542dd7a2921fcaedafe99,160667,core,master,1004134,2024-01-22 03:49:02.000000000,,ABANDONED
I07412dd019d49c224138f7e2bee89d390392edd6,161172,core,master,1000083,2024-01-19 14:05:15.000000000,,ABANDONED
I0a6795fafed04e3061cb660736234d6f04eb8872,161177,core,libreoffice-7-6,1000179,2024-01-01 13:00:38.000000000,,ABANDONED
I157abf3c2f67dc032f324222943371d3f94301ec,161183,core,master,1000043,2024-01-01 13:58:37.000000000,,ABANDONED
If3c18e92c131de640281f3365567d66b4e14e1ba,161313,core,distro/collabora/co-23.05,1000994,2024-01-07 15:52:41.000000000,,ABANDONED
I42eb8fd71f4b34b338c5f3fffea096468d22c7ab,161436,core,master,1004048,2024-01-03 12:47:51.000000000,,ABANDONED
Id140beae3d89c636ff48856a7e841d3f085a140f,161497,core,master,1004153,2024-01-02 10:27:54.000000000,,ABANDONED
I6959b15ff7cd1559f6e76542974cdd2465729977,161319,help,master,1004102,2024-01-15 20:30:51.000000000,,ABANDONED
I037ff08a66e2c7c45a13dbdbe09882557b88087d,161537,core,master,1004153,2024-01-10 07:17:25.000000000,,ABANDONED
Ib3a7f4a3698b321147b36dd9a7f1497a78eb0f21,161589,core,master,1000446,2024-01-19 21:28:23.000000000,,ABANDONED
I35626e371e3eeb975dc7d5b7276de3d698640810,161698,core,master,1000446,2024-01-19 21:27:53.000000000,,ABANDONED
Ia4329f21d4a665a4de158726bb8ffe1c183c36e1,161701,core,master,1000804,2024-01-06 02:52:14.000000000,,ABANDONED
I14e3fc1eaeb5de000746cecf000c7abbfd250940,161712,core,master,1000043,2024-01-06 16:58:06.000000000,,ABANDONED
Ibe905790e8bef8e4f3c0debb1c65ac1dea9e7dd6,161736,core,master,1000028,2024-01-07 09:32:47.000000000,,ABANDONED
I2241fe9d6cc83dbc3faf5e5ed5fd143a37e7289f,161749,core,master,1004151,2024-01-08 07:24:31.000000000,,ABANDONED
Ic2fe13792f7b65cb00bc76a4c9470d32ad0c0f9d,161783,core,master,1000179,2024-01-10 09:49:29.000000000,,ABANDONED
I7b98cc883ce1c35d734b1348626b700278f7c903,161801,core,master,1000135,2024-01-10 20:33:22.000000000,,ABANDONED
I6bf51fe6bebd80dba0ae72a5bca22372e632684a,161817,core,master,1000135,2024-01-09 16:41:37.000000000,,ABANDONED
If15ee10f40183a43ff3edad2c3c8ff9f692c787c,161825,core,master,1000804,2024-01-10 15:53:22.000000000,,ABANDONED
I43dda002af2344052cda8fc2e259f14b6f8e0fa0,161826,core,master,1000804,2024-01-11 02:58:02.000000000,,ABANDONED
I440bb855c1323c4f06b2e8f7d6a356f59d42e731,161926,core,master,1000179,2024-01-12 09:36:08.000000000,,ABANDONED
Ie4cacdadac720e0cf93b43e3e561724145ebd3cf,162039,core,master,1000804,2024-01-18 13:29:42.000000000,,ABANDONED
Ic58864533c99b6133b7ad00f5cb088bbcee3923e,162157,core,master,1000045,2024-01-22 14:07:23.000000000,,ABANDONED
I26327692a2699b2ff2b3be946b246dab5e3f04ac,162165,core,master,1000083,2024-01-16 12:00:47.000000000,,ABANDONED
I42bfe00b6824c7f7d2cf822c21c4e06e5bff6e97,162184,core,master,1000994,2024-01-17 07:41:21.000000000,,ABANDONED
I6be52b00c9db2804ed1b32b53a88487d5de2b51c,162185,core,master,1000083,2024-01-17 08:58:27.000000000,,ABANDONED
I7c00f4dfbf924d60ae84c39f0c34de48a5e9ba17,162197,core,master,1000083,2024-01-22 14:21:58.000000000,,ABANDONED
I5fd799cda4e114282e1ea695923bf0038678c45a,162265,core,distro/collabora/co-23.05,1000119,2024-01-18 20:08:59.000000000,,ABANDONED
I260f478188655c65a818965b0a1b7e344ba31c93,162297,core,master,1000083,2024-01-19 09:57:53.000000000,,ABANDONED
Ic552a2d8c710d0bd4582043f7d2247dc677083c7,162299,core,distro/collabora/co-23.05,1000083,2024-01-19 14:04:59.000000000,,ABANDONED
I1b1f3a87708aca6a195e39a3b75c70d0d1555de8,162391,core,master,1000083,2024-01-23 09:29:35.000000000,,ABANDONED
I1d59a2614dc9151c7ab68da3ad3d9d13a99defdd,162487,core,master,1002115,2024-01-24 22:20:50.000000000,,ABANDONED
Id322d0df134485d228515cd777da9581bf31ad22,162520,core,master,1004166,2024-01-27 07:39:17.000000000,,ABANDONED
I363e9d4f0ee1c15cb67edd6d0ae914d250611c0d,162595,core,master,1000179,2024-01-26 10:32:09.000000000,,ABANDONED
I0b833b056d2357299473147406bb2d82a26c33bb,162637,core,master,1004153,2024-01-27 10:19:42.000000000,,ABANDONED
I899d450a890222457dc8afec5711a95a8fe7f8c6,162653,core,master,1004166,2024-01-28 04:07:50.000000000,,ABANDONED
I77e1b53c4b670f5767761fe8204baf893fa500c5,162691,core,distro/collabora/co-24.04,1000028,2024-01-30 21:38:17.000000000,,ABANDONED
I57b0295e5b6d79abc23d3f85daef0626db3d7ea4,162698,core,distro/collabora/co-24.04,1000028,2024-01-30 21:38:08.000000000,,ABANDONED
I16634611e7798116f9e243e2f2944f74129aa9e4,162708,core,master,1000446,2024-01-30 09:11:25.000000000,,ABANDONED
I158e98fa3be2149610902afdf3cce136f5a2dc88,162780,core,master,1004166,2024-01-30 21:04:17.000000000,,ABANDONED
I1f3a5bc7211b7b9ee0fb6d73db9c9f492a18f2a2,161894,dev-tools,master,1003811,2024-01-12 15:43:34.000000000,,ABANDONED
I9e52e7884ae6daf50794379f0ae02553ef6d8d43,161929,dev-tools,master,1003811,2024-01-12 15:43:50.000000000,,ABANDONED
I2fcb6bc8ca888a18221a5db0f70a1e21127bae72,162285,help,master,1004102,2024-01-24 13:45:01.000000000,,ABANDONED
Ie1c7102a2647e5eaf58d8390bcc8b56938631d70,162380,help,master,1000043,2024-01-22 21:40:02.000000000,,ABANDONED
Iee37805afba1aa712a45c213d1f9eeae4d01d923,162535,help,libreoffice-24-2-0,1003771,2024-01-25 18:11:14.000000000,,ABANDONED
